Well	Plate	Sample	Detector	Cq
A4	1	LUC_1	GeneA	25.25
A5	1	LUC_1	GeneA	25.27
A6	1	LUC_1	GeneA	25.48
A10	1	KD_1	GeneA	25.95
A11	1	KD_1	GeneA	25.71
A12	1	KD_1	GeneA	25.76
B4	1	LUC_2	GeneA	25.64
B5	1	LUC_2	GeneA	25.66
B6	1	LUC_2	GeneA	25.62
B10	1	KD_2	GeneA	25.47
B11	1	KD_2	GeneA	25.54
B12	1	KD_2	GeneA	25.44
C4	1	LUC_3	GeneA	25.17
C5	1	LUC_3	GeneA	25.3
C6	1	LUC_3	GeneA	25.16
C10	1	KD_3	GeneA	25.72
C11	1	KD_3	GeneA	25.76
C12	1	KD_3	GeneA	25.77
D4	1	LUC_1	HKG	12.12
D5	1	LUC_1	HKG	12.44
D6	1	LUC_1	HKG	12.6
D10	1	KD_1	HKG	12.41
D11	1	KD_1	HKG	12.36
D12	1	KD_1	HKG	12.2
E4	1	LUC_2	HKG	12.55
E5	1	LUC_2	HKG	12.92
E6	1	LUC_2	HKG	12.84
E10	1	KD_2	HKG	12.27
E11	1	KD_2	HKG	12.35
E12	1	KD_2	HKG	12.4
F4	1	LUC_3	HKG	12.42
F5	1	LUC_3	HKG	12.5
F6	1	LUC_3	HKG	12.55
F10	1	KD_3	HKG	12.45
F11	1	KD_3	HKG	12.5
F12	1	KD_3	HKG	12.7
A1	1	LUC_1	GeneB	25.25
A2	1	LUC_1	GeneB	25.27
A3	1	LUC_1	GeneB	25.48
A7	1	KD_1	GeneB	25.95
A8	1	KD_1	GeneB	25.71
A9	1	KD_1	GeneB	25.76
B1	1	LUC_2	GeneB	25.64
B2	1	LUC_2	GeneB	25.66
B3	1	LUC_2	GeneB	25.62
B7	1	KD_2	GeneB	25.47
B8	1	KD_2	GeneB	25.54
B9	1	KD_2	GeneB	25.44
C1	1	LUC_3	GeneB	25.17
C2	1	LUC_3	GeneB	25.3
C3	1	LUC_3	GeneB	25.16
C7	1	KD_3	GeneB	25.72
C8	1	KD_3	GeneB	25.76
C9	1	KD_3	GeneB	25.77
